name,category,pid,price,image,description,rating,brand
Glass Crystal Duck Pair Showpiece,Glass Showpiece,38,599.0,//5.imimg.com/data5/SELLER/Default/2021/6/RI/JN/PJ/96341302/1-1--500x500.jpg,"Attraction With Stylish Design, Quality Of Best Material, Performance And Durability For Long Life In Reasonable Price, Indian Reason Unique Stuff With MAKE IN INDIA Spirituality From House Of ""Tailos""
 
",4.5,Shri Balaji Enterprises
Acrylic Multicolor Couple gift showpiece,Showpiece,39,90.0,//5.imimg.com/data5/RJ/XV/YA/SELLER-92748598/best-wishes-gift-item-500x500.jpg,"We are engaged in offering Best Wishes Gift Item, which is extremely praised in the market. Owing to high demand, professionals make these products in varied patterns.
 
",4.1,S.K.G. Enterprises
"Acrylic Taj Mahal LED Disco Light Decorative Showpiece, For Gift Purpose",Showpiece,40,48.0,//5.imimg.com/data5/CO/WU/FF/SELLER-92748598/best-wishes-gift-items-500x500.jpg,"Couple gift, table top gift, wedding gift, etc. 
 
",4.1,S.K.G. Enterprises
"Polyresin Dinine Craft Decorative Showpiece, For Decoration, Packaging Type: Box",Showpiece,41,50.0,//5.imimg.com/data5/SELLER/Default/2021/3/IP/TE/EB/8070144/dinine-craft-decorative-showpiece-500x500.PNG,"We, Shaifali Traders is one of the leading supplier of",4.1,Shaifali Traders
"Multicolor Human Big Bawla Set 4 Inch, For Decoration",Handicraft Items,42,1200.0,//5.imimg.com/data5/II/NJ/KU/SELLER-46722905/tpbh-bawlaset4inch-1-500x500.jpg,"bawla set of 6 ( 4 inch, 5 inch, 6 inch)            
",4.4,ADSUP Marketing Solutions LLP
"Cotton Multicolor Home Decoration Handcraft Item, Size/Dimension: 25-50 Mm (diameter)",Handicraft Items,43,150.0,//5.imimg.com/data5/UI/DT/NY/SELLER-33442967/new-product-17-07-2020-1594973714-6254--500x500.jpeg,"Price Range: Rs 150-250/ Unit            
",3.8,S.R.V.P. Impex
"Round White Decorative Artificial Flowers Ring, For Event Decorations",Handicraft Items,44,9500.0,https://5.imimg.com/data5/VF/KL/QH/SELLER-2161621/decorative-artificial-flowers-panel-500x500.jpg,"Decorative Flower Frame with beautiful Flowers in available in different sizes for Wedding and Event Decorations.            
",3.9,Valley Of Flowers (A Unit Of Shreya Overseas)
"Flower metal diya, Size: 2.25x2.5, For Decorative",Handicraft Items,45,35.0,//5.imimg.com/data5/YC/QQ/VH/SELLER-52149104/20190711-123938-500x500.jpg,"decorative diya            
Additional Information  Item Code  1900   Delivery Time  10 to 15 days   Production Capacity  10000   Packaging Details  box 
",3.3,S.M.S Traders
"Indoor Curved Marble Singhasan, For Home, Size: Customizable",Marble Handicrafts,46,36000.0,//5.imimg.com/data5/EU/AB/KX/SELLER-8163415/marble-singhasan-500x500-500x500.jpg,Pure White Marble Singhasan with carving and inlay work.,5.0,Jain Marble & Tiles
Marble Peacock Urli 2 Feet,Marble Urli,47,2000.0,//3.imimg.com/data3/NB/CI/MY-5357349/untitled-1-500x500.jpg,"Backed by extensive industry experience in offering qualitative end solutions, Peacock Urli offered is flawlessly crafted that adds to the decor of that place. Here, our expertise lies in also making it available in defined shapes and design options as desired by the customers. Helping in enhancing aesthetic sense of surroundings, 2 feet peacock urli is suitable for adding to the aesthetics of areas like malls, hotels and others. Further, its flawless finishing and stylish designs, finely polished outer surface and sleek, stylish finish also make these the preferred choice of customers.            
",3.4,Konzept Arts
